Chamber,Sample,Sample,Sample,Sample,EvaGreen,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Fold Change,Quality,Call,In Range,Out Range,Peak Ratio,Comments
S01-A70,Ref 397-398-399,Reference,1,,H2-D1,Test,Aldh1l1,14.83240384,1,Pass,0.023030415,-0.098048279,1,Pass,-0.488472262,1,Pass,-0.098048279,1.070324515,1,Pass,85.99379088,999,1,
S01-A71,Ref 397-398-399,Reference,1,,Fbln5,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A72,Ref 397-398-399,Reference,1,,Srgn,Test,Aldh1l1,18.83042345,1,Pass,0.023030415,-1.658854096,1,Pass,3.50954735,1,Pass,-1.658854096,3.157656188,1,Pass,84.69250513,999,1,
S01-A73,Ref 397-398-399,Reference,1,,Aqp4,Test,Aldh1l1,14.66458063,1,Pass,0.023030415,0.048101636,1,Pass,-0.656295469,1,Pass,0.048101636,0.967208189,1,Pass,87.06800064,999,1,
S01-A74,Ref 397-398-399,Reference,1,,Gabra1,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A75,Ref 397-398-399,Reference,1,,Lcn2,Test,Aldh1l1,17.16542263,1,Pass,0.023030415,0.170802198,1,Pass,1.844546529,1,Pass,0.170802198,0.888348586,1,Pass,83.95624059,999,1,
S01-A76,Ref 397-398-399,Reference,1,,Hsbp1,Test,Aldh1l1,17.33306746,1,Pass,0.023030415,-0.607864327,1,Pass,2.012191359,1,Pass,-0.607864327,1.524001504,1,Pass,87.00598719,999,1,
S01-A77,Ref 397-398-399,Reference,1,,Cp,Test,Aldh1l1,14.19652535,1,Pass,0.023030415,0.065560803,1,Pass,-1.124350747,1,Pass,0.065560803,0.955573796,1,Pass,82.0730871,999,1,
S01-A78,Ref 397-398-399,Reference,1,,Gfap,Test,Aldh1l1,13.4803157,1,Pass,0.023030415,0.023863813,1,Pass,-1.8405604,1,Pass,0.023863813,0.983594919,1,Pass,88.73830801,999,1,
S01-A79,Ref 397-398-399,Reference,1,,S100a10,Test,Aldh1l1,11.15600758,1,Pass,0.023030415,-0.143621255,1,Pass,-4.164868523,1,Pass,-0.143621255,1.104674441,1,Pass,82.00383793,999,1,
S01-A80,Ref 397-398-399,Reference,1,,Emp1,Test,Aldh1l1,16.82610387,1,Pass,0.023030415,-0.306892748,1,Pass,1.505227765,1,Pass,-0.306892748,1.237040512,1,Pass,85.10238698,999,1,
S01-A81,Ref 397-398-399,Reference,1,,Cd14,Test,Aldh1l1,18.61888948,1,Pass,0.023030415,-0.716790022,1,Pass,3.298013382,1,Pass,-0.716790022,1.64352115,1,Pass,85.54531238,999,1,
S01-A82,Ref 397-398-399,Reference,1,,Ggta1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A83,Ref 397-398-399,Reference,1,,Ugt1a,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A84,Ref 397-398-399,Reference,1,,Amigo2,Test,Aldh1l1,19.60848896,1,Pass,0.023030415,0.062132842,1,Pass,4.287612863,1,Pass,0.062132842,0.957847017,1,Pass,84.92809357,999,1,
S01-A85,Ref 397-398-399,Reference,1,,Cx30,Test,Aldh1l1,21.0277874,0.961122477,Pass,0.023030415,-0.493427162,0.961122477,Pass,5.706911303,0.961122477,Pass,-0.493427162,1.40778514,0.961122477,Pass,85.31399337,999,1,
S01-A86,Ref 397-398-399,Reference,1,,Snap25,Test,Rplp0,17.96209919,1,Pass,0.023030415,0.042061456,1,Pass,6.975607987,1,Pass,0.042061456,0.971266121,1,Pass,81.91050215,999,1,
S01-A87,Ref 397-398-399,Reference,1,,Lcn2,Test,Aldh1l1,17.12145115,1,Pass,0.023030415,0.126830719,1,Pass,1.80057505,1,Pass,0.126830719,0.915841142,1,Pass,84.00836162,999,1,
S01-A88,Ref 397-398-399,Reference,1,,Hsbp1,Test,Aldh1l1,17.28031161,1,Pass,0.023030415,-0.660620176,1,Pass,1.959435511,1,Pass,-0.660620176,1.580762005,1,Pass,86.95909854,999,1,
S01-A89,Ref 397-398-399,Reference,1,,Cp,Test,Aldh1l1,14.20286215,1,Pass,0.023030415,0.071897603,1,Pass,-1.118013947,1,Pass,0.071897603,0.9513858,1,Pass,82.12010686,999,1,
S01-A90,Ref 397-398-399,Reference,1,,Gfap,Test,Aldh1l1,13.3659161,1,Pass,0.023030415,-0.090535782,1,Pass,-1.954959995,1,Pass,-0.090535782,1.064765537,1,Pass,88.77231753,999,1,
S01-A91,Ref 397-398-399,Reference,1,,S100a10,Test,Aldh1l1,11.29686047,1,Pass,0.023030415,-0.00276836,1,Pass,-4.024015629,1,Pass,-0.00276836,1.001920723,1,Pass,82.31956311,999,1,
S01-A92,Ref 397-398-399,Reference,1,,Emp1,Test,Aldh1l1,16.85459214,1,Pass,0.023030415,-0.278404472,1,Pass,1.533716041,1,Pass,-0.278404472,1.212852805,1,Pass,85.54737317,999,1,
S01-A93,Ref 397-398-399,Reference,1,,Cd14,Test,Aldh1l1,18.71943424,1,Pass,0.023030415,-0.616245262,1,Pass,3.398558142,1,Pass,-0.616245262,1.532880532,1,Pass,85.7988311,999,1,
S01-A94,Ref 397-398-399,Reference,1,,Ggta1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A95,Ref 397-398-399,Reference,1,,Ugt1a,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A96,Ref 397-398-399,Reference,1,,Amigo2,Test,Aldh1l1,18.98823589,1,Pass,0.023030415,-0.558120235,1,Pass,3.667359786,1,Pass,-0.558120235,1.472349563,1,Pass,85.07370801,999,1,
S02-A01,Ref 397-398-399,Reference,1,,Rplp0,Reference,,10.98458762,1,Pass,0.023030415,-0.001903584,1,Pass,-0.001903584,1,Pass,-0.001903584,1.001320334,1,Pass,89.62665066,999,1,
S02-A02,Ref 397-398-399,Reference,1,,Cd84,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S02-A03,Ref 397-398-399,Reference,1,,Mog,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S02-A04,Ref 397-398-399,Reference,1,,Steap4,Test,Aldh1l1,22.44713196,1,Pass,0.023030415,0.315448104,1,Pass,7.126255862,1,Pass,0.315448104,0.803601352,1,Pass,86.07318727,999,1,
